place_id,name,latitude,longitude,Main_category,categories,rating,address
ChIJ14tHKJ1w44kRjltsmQF3pXM,jm Curley,42.355195,-71.0623678,Health,"bar,restaurant,food,point_of_interest,establishment,",4.2,"21 Temple Place, Boston"
ChIJ14tHKJ1w44kRjltsmQF3pXM,jm Curley,42.355195,-71.0623678,Community,"bar,restaurant,food,point_of_interest,establishment,",4.2,"21 Temple Place, Boston"
ChIJ17-G5fuB44kRnzFYvc-KdAM,Russian School of Mathematics - Newton,42.2948787,-71.1996929,Education,"university,school,point_of_interest,establishment,",3.4,"200 Wells Avenue, Newton"
ChIJ18vTMNq644kRkCS4NzcmW04,Berry's Grove Campground,42.67721,-71.394966,Community,"campground,rv_park,park,lodging,point_of_interest,establishment,",4,"35 Davis Street, Tyngsborough"
ChIJ1bA8r5Nw44kRhYzacPBjA-A,Massachusetts State Police Department,42.366861,-71.0689264,Community,"police,point_of_interest,establishment,",3.6,"250 Leverett Circle, Boston"
ChIJ1ch7UVEI44kRr9K34s40Q0A,Camp Maude Eaton,42.6386217,-71.147592,Community,"campground,park,lodging,point_of_interest,establishment,",4.6,"141 Abbot Street, Andover"
ChIJ1cuaGUB444kRZaChvMsicBs,Oak Square YMCA,42.3509382,-71.1671654,Health,"gym,health,point_of_interest,establishment,",4,"615 Washington Street, Brighton"
ChIJ1cvGQIWh44kRAIgst1SAQNE,Bank of America ATM,42.5813691,-71.2890896,Finance,"atm,finance,point_of_interest,establishment,",3.5,"199 Boston Road, Billerica"
ChIJ1fC9V5pw44kRuuyWUHHQsgA,Cafe Podima,42.3610261,-71.0649276,Health,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment,",3.6,"168 Cambridge Street, Boston"
ChIJ1fC9V5pw44kRuuyWUHHQsgA,Cafe Podima,42.3610261,-71.0649276,Health,"meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment,",3.6,"168 Cambridge Street, Boston"
ChIJ1fEkfz5s44kRplKd4N5r_m8,Town of Nahant,42.4213069,-70.9335134,Community,"city_hall,local_government_office,point_of_interest,establishment,",5,"290 Castle Road, Nahant"
ChIJ1ROMjOl044kR_tQLl-MM8SE,"LitmanGerson Associates, LLP Accounting Firm",42.4956888,-71.1274705,Finance,"accounting,finance,point_of_interest,establishment,",,"600 West Cummings Park, Woburn"
ChIJ1ROMjOl044kRwDXVpGeRLUc,Insphere Insurance Solutions,42.4956888,-71.1274705,Finance,"insurance_agency,point_of_interest,establishment,",,"600 West Cummings Park, Woburn"
ChIJ1RRsiI5z44kRUfMgHDQYOBE,Middlesex Fells Reservation,42.4521217,-71.1054561,Community,"park,point_of_interest,establishment,",4.6,"4 Woodland Road, Stoneham"
ChIJ1SJYYOp044kRWXbw1oYUzdA,NEWPRO Home Improvement,42.496359,-71.123805,Finance,"roofing_contractor,home_goods_store,store,general_contractor,point_of_interest,establishment,",4.5,"26 Cedar Street, Woburn"
ChIJ1U_z3jZj44kRLUqKXye5mJo,Olindy's Quincy Avenue Lanes,42.2424825,-70.9935759,Health,"bowling_alley,point_of_interest,establishment,",4.3,"170 Quincy Avenue, Quincy"
ChIJ1UilYZ-F5IkR_BSUQYzxC9k,Us Govt VA,42.0655836,-71.0539384,Community,"courthouse,point_of_interest,establishment,",,"940 Belmont Street, Brockton"
ChIJ1VAwbz1344kRsD2u70FABPU,United States Postal Service,42.3899012,-71.1201587,Community,"post_office,finance,point_of_interest,establishment,",2.3,"1953 Massachusetts Avenue, Cambridge"
ChIJ1Wa4Q7V844kRR4alV0g5m2c,Lovely Pets Aquarium Store,42.2480065,-71.0032756,Community,"aquarium,pet_store,store,point_of_interest,establishment,",4.7,"69 Parkingway, Quincy"
ChIJ1wEQZ2-f44kR5Js7tZudBHQ,Bank of America ATM,42.51849,-71.2534138,Finance,"atm,finance,point_of_interest,establishment,",3.3,"174 Middlesex Turnpike, Bedford"
ChIJ1WOPl4Nw44kR6-Hqc6uxrPY,"CoStar Group, Inc.",42.3560862,-71.0581806,Finance,"real_estate_agency,point_of_interest,establishment,",5,"33 Arch Street, Boston"
ChIJ1xUGCaVw44kRNT7CnhjA9Ec,Tatte Bakery & Cafe,42.3649189,-71.0826462,Health,"cafe,bakery,store,restaurant,food,point_of_interest,establishment,",4.5,"318 Third Street, Cambridge"
ChIJ2_jOBqF044kRGuJl1q7e3MU,Liberty Bay Credit Union,42.49941,-71.162997,Finance,"atm,finance,point_of_interest,establishment,",3,"300 Trade Center suite 1740, Woburn"
ChIJ20dbgAZ444kRADPADF7yhtY,Watertown Fire Department,42.367171,-71.1866191,Community,"fire_station,point_of_interest,establishment,",,"99 Main Street, Watertown"
ChIJ20dbgAZ444kRrtkKnr6tq6k,Watertown Fire Prevention Bur,42.3671409,-71.186582,Community,"fire_station,point_of_interest,establishment,",,"99 Main Street, Watertown"
ChIJ22jBMIqB44kROzuHI396aDw,Catz Needham,42.302054,-71.221046,Health,"gym,physiotherapist,health,point_of_interest,establishment,",4.5,"71 4th Avenue, Needham Heights"
ChIJ23sp9LR544kR-e731B37D-U,Melvin Pharmacy,42.3442884,-71.1420244,Community,"pharmacy,post_office,finance,store,health,point_of_interest,establishment,",4.8,"1558 Commonwealth Avenue, Brighton"
ChIJ24alZ58T44kRaDvmDIoTenQ,"Fit Werx 2 (FW2) - Peabody, MA",42.523744,-70.9302923,Health,"bicycle_store,store,point_of_interest,establishment,",5,"67 Foster Street, Peabody"
ChIJ25IgQK305IkRHLvjnSYs68c,Sheridan Street School,41.9014898,-71.1078236,Education,"school,point_of_interest,establishment,",,Taunton
ChIJ265ylD4N44kRdSo1xjykru4,Kings Dining & Entertainment,42.514671,-71.034686,Health,"bowling_alley,bar,restaurant,food,point_of_interest,establishment,",4.3,"510 Market Street, Lynnfield"
ChIJ271bWFBi5IkRiAU-vnHmSqw,Rite Aid,42.03106,-71.230127,Health,"pharmacy,convenience_store,store,health,food,point_of_interest,establishment,",4,"243 Chauncy Street, Mansfield"
ChIJ27McfGF344kRkAibGTEhlk8,Harvard Stadium,42.366704,-71.1267511,Health,"stadium,point_of_interest,establishment,",4.6,"79 North Harvard Street, Allston"
ChIJ281wLS5344kRuqr8tUEkBho,The Center for Arts at the Armory,42.3896189,-71.1060714,Community,"art_gallery,point_of_interest,establishment,",4.7,"191 Highland Avenue #1c, Somerville"
ChIJ294LqMOG44kR-MHj253-IYg,106 Central St,42.293405,-71.3067231,Education,"university,premise,point_of_interest,establishment,",,Wellesley
ChIJ2aZg8y9344kRVhwHkqsf1Qo,CHA Somerville Hospital,42.3897744,-71.1097777,Health,"hospital,doctor,health,point_of_interest,establishment,",3.3,"230 Highland Avenue, Somerville"
ChIJ2b0OVqub5IkR0hSO63jciB4,bikebarn,42.0672531,-70.949168,Health,"bicycle_store,store,point_of_interest,establishment,",5,"242 Bedford Street, Whitman"
ChIJ2fWgsppw44kR24CP8_C2CJA,Boston Sports Clubs,42.3615804,-71.0609101,Health,"gym,health,point_of_interest,establishment,",3.2,"1 Bulfinch Place, Boston"
ChIJ2fWgsppw44kRaUFE9wRyDeE,Boston Sports Clubs,42.3559935,-71.0589246,Health,"gym,health,point_of_interest,establishment,",3.6,"10 Franklin St, 3rd Floor, Boston"
ChIJ2fWgsppw44kRTdUwubahcII,Suffolk County District Attorney,42.3616218,-71.0608683,Community,"lawyer,local_government_office,point_of_interest,establishment,",3.2,"1 Bulfinch Place, Boston"
ChIJ2Q6jiJN844kR6H0K17F23no,Cardtronics,42.2536116,-71.0279598,Finance,"atm,finance,point_of_interest,establishment,",,"550 Adams Street, Quincy"
